Name,Type,Category,Effect,Power,Acc,PP,TM,Prob.(%),Gen
Pollen Puff,Bug,Special,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.",90,100,15,,,7
Power Trip,Dark,Physical,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",20,100,10,,,7
Prismatic Laser,Psychic,Special,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,160,100,10,,,7
Psychic Fangs,Psychic,Physical,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,85,100,10,,,7
Psychic Terrain,Psychic,Status,Prevents priority moves from being used for 5 turns.,-,-,10,,-,7
Pulverizing Pancake,Normal,Physical,Snorlax-exclusive Normal type Z-Move.,210,-,1,,,7
Purify,Poison,Status,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",-,-,20,,,7
Revelation Dance,Normal,Status,Type changes based on Oricorio's form.,90,100,15,,,7
Sappy Seed,Grass,Physical,Drains HP from opponent each turn.,90,100,15,,100,7
Savage Spin-Out,Bug,Z-Move,Bug type Z-Move.,-,-,1,,,7
Searing Sunraze Smash,Steel,Physical,Solgaleo-exclusive Z-Move.,200,-,1,,,7
Shadow Bone,Ghost,Physical,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.,85,100,10,,,7
Shattered Psyche,Psychic,Z-Move,Psychic type Z-Move.,-,-,1,,,7
Shell Trap,Fire,Special,Deals more damage to opponent if hit by a Physical move.,150,100,5,,,7
Shore Up,Ground,Status,The user regains up to half of its max HP. It restores more HP in a sandstorm.,-,-,10,,,7
Sinister Arrow Raid,Ghost,Physical,Decidueye-exclusive Z-Move.,180,-,1,,,7
Sizzly Slide,Fire,Physical,Burns the opponent.,90,100,15,,,7
Smart Strike,Steel,Physical,The user stabs the target with a sharp horn. This attack never misses.,70,-,10,TM67,,7
Solar Blade,Grass,Physical,"Charges on first turn, attacks on second.",125,100,10,,,7
Soul-Stealing 7-Star Strike,Ghost,Physical,Marshadow-exclusive Z-Move.,195,-,1,,,7
Sparkling Aria,Water,Special,Heals the burns of its target.,90,100,10,,,7
Sparkly Swirl,Fairy,Special,Cures all status problems in the party Pokémon.,90,100,15,,,7
Spectral Thief,Ghost,Physical,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",90,100,10,,,7
Speed Swap,Psychic,Status,The user exchanges Speed stats with the target.,-,-,10,,,7
Spirit Shackle,Ghost,Physical,Prevents the opponent switching out.,80,100,10,,,7
Splintered Stormshards,Rock,Physical,Lycanroc-exclusive Z-Move.,190,-,1,,,7
Splishy Splash,Water,Special,May paralyze opponent.,90,100,15,,30,7
Spotlight,Normal,Status,The user shines a spotlight on the target so that only the target will be attacked during the turn.,-,-,15,,,7
Stoked Sparksurfer,Electric,Special,Alolan Raichu-exclusive Electric type Z-Move.,175,-,1,,,7
Stomping Tantrum,Ground,Physical,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",75,100,10,,,7
Strength Sap,Grass,Status,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,-,100,10,,,7
Subzero Slammer,Ice,Z-Move,Ice type Z-Move.,-,-,1,,,7
Supersonic Skystrike,Flying,Z-Move,Flying type Z-Move.,-,-,1,,,7
Tearful Look,Normal,Status,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,-,-,20,,,7
Tectonic Rage,Ground,Z-Move,Ground type Z-Move.,-,-,1,,,7
Throat Chop,Dark,Physical,Prevents use of sound moves for two turns.,80,100,15,,,7
Toxic Thread,Poison,Status,The user shoots poisonous threads to poison the target and lower the target's Speed stat.,-,100,20,,,7
Trop Kick,Grass,Physical,Lowers opponent's Attack.,70,100,15,,,7
Twinkle Tackle,Fairy,Z-Move,Fairy type Z-Move.,-,-,1,,,7
Veevee Volley,Normal,Physical,Power increases when player's bond is stronger.,-,∞,20,,,7
Zing Zap,Electric,Physical,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",80,100,10,,,7
Zippy Zap,Electric,Physical,High critical-hit ratio.,50,100,15,,,7
